label,n,net_pnl,gross_profit,gross_loss,pf,wr,expectancy,avg_win,avg_loss,max_dd,roMAD
Baseline,883,8139.579999999998,53172.52,45032.94,1.1807472485696024,34.20158550396376,9.218097395243486,176.06794701986755,-77.50936316695353,-3356.37999999997,2.4251068115052736
V1: 1-bar confirm,879,6915.54,48892.66,41977.12,1.1647454613370332,33.105802047781566,7.867508532423209,168.01601374570447,-71.38965986394558,-4500.199999999917,1.5367183680725585
V2: RTH-only,883,8139.579999999998,53172.52,45032.94,1.1807472485696024,34.20158550396376,9.218097395243486,176.06794701986755,-77.50936316695353,-3356.37999999997,2.4251068115052736
V3: Friday filter,693,7299.679999999999,41001.90000000001,33702.22,1.216593446959874,34.63203463203463,10.533448773448773,170.84125000000003,-74.39783664459162,-3268.6399999999703,2.233246854961105
V4: Holiday protect,897,8610.219999999998,53197.880000000005,44587.66,1.1931076894369428,34.894091415830545,9.59890746934225,169.96127795527158,-76.34873287671233,-3247.079999999969,2.6516808948347683
V5: Trail $1000,883,6824.579999999998,51857.520000000004,45032.94,1.1515464013675323,34.20158550396376,7.7288561721404285,171.71364238410598,-77.50936316695353,-3356.37999999997,2.033315655557493
V6: V1+V2+V3+V4,698,7046.98,38140.82000000001,31093.840000000004,1.2266358867222575,33.2378223495702,10.095959885386819,164.4000862068966,-66.72497854077254,-3680.899999999934,1.914472004129459
V7: All combined,698,6211.98,37305.82000000001,31093.840000000004,1.199781693094195,33.2378223495702,8.89968481375358,160.8009482758621,-66.72497854077254,-3680.8999999999432,1.6876253090277094
