date,entry_bar,direction,entry,stop,target,exit,outcome,pnl_r,regime,session
2024-10-16,20012,-1,20302.5,20321.403685045992,20274.14447243101,20274.14447243101,win,1.5000000000000961,TRANSITION,AM_OPEN
2024-10-16,20029,-1,20273.75,20308.036043890665,20222.320934164,20308.036043890665,loss,-1.0,TRANSITION,AM_MID
2024-10-16,20040,-1,20275.5,20302.23034375384,20235.404484369243,20302.23034375384,loss,-1.0,TRANSITION,AM_MID
2024-10-17,20293,-1,20434.25,20473.951695767675,20374.697456348487,20374.697456348487,win,1.5,RANGE,AM_OPEN
2024-10-17,20309,-1,20419.75,20458.69875848851,20361.326862267237,20458.69875848851,loss,-1.0,RANGE,AM_MID
2024-10-17,20342,-1,20445.0,20465.908834538925,20413.636748191613,20413.636748191613,win,1.5,RANGE,PM_LATE
2024-10-18,20565,1,20451.25,20431.60371629841,20480.719425552383,20480.719425552383,win,1.4999999999999074,RANGE,AM_OPEN
2024-10-18,20568,1,20472.75,20441.70381176522,20519.31928235217,20519.31928235217,win,1.5,RANGE,AM_OPEN
2024-10-18,20582,1,20486.5,20458.984792430725,20527.772811353912,20527.772811353912,win,1.5,RANGE,AM_MID
2024-10-18,20602,1,20489.5,20472.0527289563,20515.67090656555,20515.67090656555,win,1.4999999999998956,RANGE,LUNCH
2024-10-18,20636,-1,20481.75,20495.336864193254,20461.369703710123,20461.369703710123,win,1.4999999999997322,RANGE,PM_LATE
2024-10-21,20869,1,20455.75,20424.62965266489,20502.430521002665,20472.0,timeout,0.5221664085242184,RANGE,AM_MID
2024-10-21,20876,1,20453.0,20429.925997617614,20487.61100357358,20429.925997617614,loss,-1.0,RANGE,LUNCH
2024-10-21,20880,1,20464.5,20442.73692677445,20497.14460983832,20497.14460983832,win,1.4999999999998328,RANGE,LUNCH
2024-10-21,20907,1,20464.0,20447.60503978518,20488.592440322227,20488.592440322227,win,1.4999999999997782,RANGE,PM_LATE
2024-10-23,21392,-1,20418.0,20437.88217902561,20388.17673146158,20437.88217902561,loss,-1.0,TRANSITION,AM_OPEN
2024-10-23,21394,-1,20427.0,20449.61594780146,20393.07607829781,20449.61594780146,loss,-1.0,TRANSITION,AM_OPEN
2024-10-23,21408,-1,20407.5,20439.710716864385,20359.18392470342,20359.18392470342,win,1.500000000000113,TRANSITION,AM_MID
2024-10-23,21411,-1,20390.25,20422.163909615127,20342.379135577306,20342.379135577306,win,1.500000000000114,TRANSITION,AM_MID
2024-10-24,21668,-1,20326.75,20349.99726624702,20291.87910062947,20349.99726624702,loss,-1.0,TRANSITION,AM_OPEN
2024-10-24,21675,-1,20331.5,20365.780048322224,20280.07992751667,20365.780048322224,loss,-1.0,TRANSITION,AM_MID
2024-10-24,21679,-1,20315.5,20351.523870817404,20261.464193773896,20351.523870817404,loss,-1.0,TRANSITION,AM_MID
2024-10-24,21683,-1,20337.75,20370.695931346487,20288.33110298027,20288.33110298027,win,1.4999999999999447,TRANSITION,AM_MID
2024-10-24,21693,-1,20322.5,20349.87921216911,20281.43118174633,20281.43118174633,win,1.5000000000000664,TRANSITION,AM_MID
2024-10-25,21968,1,20640.0,20611.51547242678,20682.72679135983,20611.51547242678,loss,-1.0,TRANSITION,AM_MID
2024-10-28,22220,-1,20585.5,20606.829233254328,20553.50615011851,20553.50615011851,win,1.5,RANGE,AM_OPEN
2024-10-28,22232,-1,20571.25,20601.631760451117,20525.677359323327,20601.631760451117,loss,-1.0,RANGE,AM_MID
2024-10-28,22237,-1,20575.25,20603.934422693896,20532.22336595916,20532.22336595916,win,1.4999999999999365,RANGE,AM_MID
2024-10-29,22496,-1,20442.75,20466.924325893626,20406.48851115956,20466.924325893626,loss,-1.0,RANGE,AM_OPEN
2024-10-29,22499,-1,20468.25,20501.094294515053,20418.983558227425,20501.094294515053,loss,-1.0,RANGE,AM_OPEN
2024-10-30,22772,-1,20617.25,20641.403401989188,20581.019897016216,20641.403401989188,loss,-1.0,TRANSITION,AM_OPEN
2024-10-30,22788,-1,20630.25,20658.69079534092,20587.588806988617,20658.69079534092,loss,-1.0,TRANSITION,AM_MID
2024-10-30,22792,-1,20616.0,20643.541117150264,20574.688324274604,20643.541117150264,loss,-1.0,TRANSITION,AM_MID
2024-10-30,22815,-1,20637.25,20655.848964558463,20609.35155316231,20609.35155316231,win,1.4999999999998044,TRANSITION,PM_EARLY
2024-10-31,23048,-1,20282.75,20315.671138228372,20233.36829265744,20233.36829265744,win,1.5000000000000553,VOLATILE,AM_OPEN
2024-10-31,23124,-1,20043.0,20078.88986475942,19989.16520286087,20078.88986475942,loss,-1.0,VOLATILE,PM_LATE
2024-11-04,23600,-1,20048.5,20078.784346340366,20003.073480489453,20078.784346340366,loss,-1.0,RANGE,AM_OPEN
2024-11-04,23625,-1,20124.75,20153.35327929066,20081.845081064013,20081.845081064013,win,1.4999999999999365,RANGE,AM_MID
2024-11-04,23642,-1,20121.0,20145.458956695402,20084.311564956897,20084.311564956897,win,1.5,RANGE,PM_EARLY
2024-11-04,23666,-1,20127.25,20145.70898620623,20099.561520690655,20099.561520690655,win,1.4999999999999014,RANGE,PM_LATE
2024-11-04,23671,-1,20118.0,20136.618316201442,20090.072525697837,20090.072525697837,win,1.5,RANGE,PM_LATE
2024-11-06,24172,1,20767.75,20725.702209624724,20830.821685562914,20725.702209624724,loss,-1.0,VOLATILE,AM_MID
2024-11-08,24713,1,21202.0,21175.169805788108,21242.24529131784,21175.169805788108,loss,-1.0,TRANSITION,AM_MID
2024-11-08,24716,1,21204.75,21179.4689817234,21242.671527414903,21179.4689817234,loss,-1.0,TRANSITION,AM_MID
2024-11-08,24719,1,21198.25,21172.749141584092,21236.501287623865,21172.749141584092,loss,-1.0,TRANSITION,AM_MID
2024-11-08,24723,1,21197.0,21174.07462682041,21231.388059769386,21231.388059769386,win,1.5,TRANSITION,AM_MID
2024-11-08,24739,1,21204.0,21188.68858282683,21226.96712575975,21226.96712575975,win,1.4999999999998812,TRANSITION,LUNCH
2024-11-11,24980,-1,21270.5,21285.13884353954,21248.541734690694,21248.541734690694,win,1.4999999999998757,RANGE,AM_OPEN
2024-11-11,24994,-1,21203.25,21232.186069270752,21159.845896093873,21232.186069270752,loss,-1.0,RANGE,AM_MID
2024-11-11,25003,-1,21208.25,21230.38487366102,21175.047689508472,21175.047689508472,win,1.4999999999999178,RANGE,AM_MID
2024-11-11,25006,-1,21203.5,21225.950908869112,21169.82363669633,21169.82363669633,win,1.500000000000162,RANGE,AM_MID
2024-11-12,25264,1,21219.25,21191.083228036558,21261.50015794516,21191.083228036558,loss,-1.0,RANGE,AM_MID
2024-11-13,25559,1,21160.25,21127.775110271774,21208.962334592336,21208.962334592336,win,1.4999999999998879,RANGE,AM_MID
2024-11-13,25608,-1,21138.0,21165.144087595552,21097.28386860667,21165.144087595552,loss,-1.0,RANGE,PM_LATE
2024-11-14,25809,-1,21143.5,21164.633288789882,21111.800066815176,21111.800066815176,win,1.5,RANGE,AM_OPEN
2024-11-14,25825,-1,21090.75,21122.2826290813,21043.45105637805,21122.2826290813,loss,-1.0,RANGE,AM_MID
2024-11-14,25828,-1,21097.75,21126.012573656775,21055.356139514835,21126.012573656775,loss,-1.0,RANGE,AM_MID
2024-11-14,25836,-1,21103.0,21127.436855714965,21066.344716427557,21066.344716427557,win,1.4999999999998512,RANGE,AM_MID
